samples	reads	mapped	chimera	multimappers	multimappers_toomany	unmapped_tooshort	unmapped_other
hg19/STAR/SRR1976448	128773755	11743779	2936	109642491	2948010	4395399	44076
hg19/STAR/SRR2052911	14872711	6129864	538	7241047	459997	949105	92698
hg19/STAR/SRR2052912	17704715	11081528	849	6052980	259597	299060	11550
hg19/STAR/SRR2052913	17794133	5700033	450	10108307	1300963	606551	78279
hg19/STAR/SRR2052914	25987437	15117746	1540	9578603	492444	781201	17443
hg19/STAR/SRR2052915	24563183	10574384	392	11710517	736136	1402673	139473
hg19/STAR/SRR2052916	10806930	3686036	237	5692416	312276	1105141	11061
hg19/STAR/SRR2052917	29583013	10704439	451	16030193	1488222	1216864	143295
hg19/STAR/SRR2052918	32261591	10114197	4117	17292269	682193	4152732	20200
hg19/STAR/SRR2052919	11508222	3385909	297	7008128	813386	271609	29190
hg19/STAR/SRR2052920	7207773	4128212	962	2819107	201199	55943	3312
hg19/STAR/SRR2052921	13385553	5323256	971	5868055	457158	1671276	65808
hg19/STAR/SRR2052922	11104625	4493263	1235	4650266	257693	1695982	7421
hg19/STAR/SRR2052923	3135501	807158	243	1894854	236819	189208	7462
hg19/STAR/SRR2052924	6546910	3518244	2921	2860555	84061	81301	2749
hg19/STAR/SRR2052925	734096	272738	83	400007	47864	11409	2078
hg19/STAR/SRR2052926	6843947	3430597	526	3058717	171588	180112	2933
hg19/STAR/SRR2052927	6704599	1794181	1080	4254898	486929	147995	20596
hg19/STAR/SRR2052928	5814924	2443832	1272	2612303	148541	607341	2907
hg19/STAR/SRR2052929	3402055	984008	736	2064771	267813	80417	5046
hg19/STAR/SRR2052930	5599676	1632983	452	3021274	248616	693268	3535
hg19/STAR/SRR2052931	4745356	1817412	75	2383035	439215	96162	9532
hg19/STAR/SRR2052932	2312972	1319849	424	902937	61987	27253	946
hg19/STAR/SRR2052933	3932577	1133193	156	2478997	238794	72565	9028
hg19/STAR/SRR2052934	8551819	5265007	590	3140475	99168	42238	4931
hg19/STAR/SRR2052935	16157437	4094140	4121	9996585	1091227	949326	26159
hg19/STAR/SRR2052936	14953628	5334331	3128	8144009	652191	800599	22498
hg19/STAR/SRR2052937	16071399	4702008	4367	9274298	1272310	801368	21415
hg19/STAR/SRR2052938	16968297	5421401	9560	9556825	638690	1328114	23267
hg19/STAR/SRR2052939	15260392	3051621	4082	10035910	1575307	567816	29738
hg19/STAR/SRR2052940	14965606	4365913	4156	9311632	575575	695876	16610
hg19/STAR/SRR2052941	11180459	2562040	2705	7302210	933771	371888	10550
hg19/STAR/SRR2052942	14138795	3300690	2392	9466679	870945	482081	18400
hg19/STAR/SRR2052943	11133036	2466960	3038	7404168	903931	346893	11084
hg19/STAR/SRR2052944	12493324	1593235	4168	10379754	169966	347780	2589
hg19/STAR/SRR2052945	18689837	4785987	2384	10944918	2317063	621237	20632
hg19/STAR/SRR2052946	16491344	6237648	1938	8380812	987983	872072	12829
hg19/STAR/SRR2052947	2365174	768780	292	1404616	132512	55759	3507
hg19/STAR/SRR2052948	1676026	535985	236	990460	67503	77747	4331
hg19/STAR/SRR2052949	3158208	1124153	1152	1690785	199207	138346	5717
hg19/STAR/SRR2052950	2479921	931188	819	1309796	90654	143303	4980
hg19/STAR/SRR2052951	1751757	504869	699	1056484	79970	107225	3209
hg19/STAR/SRR2052952	1948799	472709	605	1330404	67133	74350	4203
hg19/STAR/SRR2052953	6003371	1310084	951	4213451	196107	275931	7798
hg19/STAR/SRR2052954	1877717	521068	650	1175767	51311	127511	2060
hg19/STAR/SRR2052955	15236245	3368919	1211	11271551	430770	155193	9812
hg19/STAR/SRR2052956	2717843	1007544	2520	1379105	103767	221421	6006
hg19/STAR/SRR2052957	2204956	759768	1111	1033334	94818	314547	2489
hg19/STAR/SRR2052958	2054955	547482	658	1227783	115524	159306	4860
hg19/STAR/SRR2052983	49644336	26585576	20074	21706304	668302	670830	13324
hg19/STAR/SRR2052984	31239772	6259218	7451	23998075	444054	531249	7176
hg19/STAR/SRR2052985	28706955	1624425	2039	26540426	256219	281646	4239
hg19/STAR/SRR2052986	30640925	2670548	3080	26913587	635298	411501	9991
hg19/STAR/SRR2052987	30892478	1420404	2156	28769121	327269	371783	3901
hg19/STAR/SRR2052988	29110440	1656064	1450	26644164	449835	350940	9437
hg19/STAR/SRR2052989	50597704	3717138	953	45985938	631087	256904	6637
hg19/STAR/SRR2052990	34805125	4928167	1087	29092122	538905	235943	9988
hg19/STAR/SRR2052991	35064404	6862364	4045	27315064	522846	353021	11109
hg19/STAR/SRR2052992	33521490	6311652	824	26353549	647612	202110	6567
hg19/STAR/SRR2052993	35200207	5315826	2530	29155679	415960	304859	7883
hg19/STAR/SRR2052994	31855247	8949473	3474	22095056	589270	215420	6028
hg19/STAR/SRR2052995	28869076	1414081	1236	26827319	306634	315351	5691
hg19/STAR/SRR2052996	26582694	3017538	1709	22845834	410713	301089	7520
hg19/STAR/SRR2052997	35151798	2444960	1335	31761971	476889	459400	8578
hg19/STAR/SRR2052998	27779927	1020052	2225	25825076	498556	426409	9834
hg19/STAR/SRR2052999	45406007	2495117	2776	41557445	604215	737831	11399
hg19/STAR/SRR2053000	33327102	1366912	1103	31228989	522999	201132	7070
hg19/STAR/SRR2053001	34896902	5690419	2544	28490417	423444	283907	8715
hg19/STAR/SRR2053002	31482560	11379040	2716	19128481	530574	434184	10281
hg19/STAR/SRR2053003	33596455	11263725	1283	21572636	521378	225779	12937
hg19/STAR/SRR2053004	39565806	3840402	1224	34819065	478916	419179	8244
hg19/STAR/SRR2064430	12619101	2118251	166	10389056	7378	103125	1291
hg19/STAR/SRR2064431	34933124	8347620	378	25772733	15310	794805	2656
hg19/STAR/SRR2064432	14257221	4107274	230	9902386	21346	224172	2043
hg19/STAR/SRR2064433	16240947	7172259	210	8707036	45748	313304	2600
hg19/STAR/SRR2064434	16455448	5840128	228	10353601	26907	233495	1317
hg19/STAR/SRR2064435	16693673	7339510	243	9104402	31309	217333	1119
hg19/STAR/SRR2064449	26191006	6351505	1116	18394068	1248678	178541	18214
hg19/STAR/SRR2064450	30630379	11440241	954	17650621	1245155	257012	37350
hg19/STAR/SRR2064451	20130179	4145471	250	12119106	819280	3029585	16737
hg19/STAR/SRR2064452	19703948	4163949	233	10429935	290912	4809941	9211
hg19/STAR/SRR2064453	31173424	8290636	596	21271899	1396479	198970	15440
hg19/STAR/SRR2064454	28398741	8605466	610	18312040	1110555	347004	23676
