samples	reads	mapped	chimera	multimappers	multimappers_toomany	unmapped_tooshort	unmapped_other
hg19/STAR/SRR1042900	19618059	3248880	923	14470967	261255	1632289	4668
hg19/STAR/SRR1042901	21264774	3389994	674	15752625	461186	1656723	4246
hg19/STAR/SRR1042902	3365056	579787	97	2385844	48145	349724	1556
hg19/STAR/SRR1173905	23982398	1948212	0	20531280	56530	1446187	189
hg19/STAR/SRR1173907	23538174	1208333	0	20725518	35488	1568674	161
hg19/STAR/SRR1173909	93090059	10335010	855	81273209	457970	1016807	7063
hg19/STAR/SRR1173910	8342296	791048	146	6324324	35779	1190476	669
hg19/STAR/SRR1173913	120156718	8897967	1084	108509415	400940	2343197	5199
hg19/STAR/SRR1173914	8921861	430768	132	7191262	21993	1277491	347
hg19/STAR/SRR1204655	499831	420264	256	75924	891	2514	238
hg19/STAR/SRR1204656	507679	437850	174	66510	837	2271	211
hg19/STAR/SRR1257225	54226363	10577592	815	42526201	322797	782545	17228
hg19/STAR/SRR1257226	40647770	7215632	425	32777127	247350	394654	13007
hg19/STAR/SRR1257227	53825881	9274935	1031	43510094	246864	777482	16506
hg19/STAR/SRR1257228	55715574	10216849	819	44667999	307619	501987	21120
hg19/STAR/SRR1257229	60128196	10725337	834	48596380	301533	483430	21516
hg19/STAR/SRR1257230	49556634	8551828	1030	40195100	248264	544082	17360
hg19/STAR/SRR1257231	63777979	11907385	889	50470482	354014	1021492	24606
hg19/STAR/SRR1257232	50651096	9283694	684	40646193	275322	427235	18652
hg19/STAR/SRR1257233	31773712	5719833	666	25499628	178805	364970	10476
hg19/STAR/SRR1257234	36672196	6196837	554	29989791	192170	281433	11965
hg19/STAR/SRR1257235	52691690	9060371	688	42966348	272551	376075	16345
hg19/STAR/SRR1257236	79357291	13516359	1561	64688961	394232	732419	25320
hg19/STAR/SRR1257237	55778091	7666204	449	46932046	294303	871257	14281
hg19/STAR/SRR1257238	36458337	5804693	450	29580146	226872	835841	10785
hg19/STAR/SRR1257239	54380338	6820909	483	46518748	243944	786663	10074
hg19/STAR/SRR1257240	80104743	11513179	767	66949438	495224	1127827	19075
hg19/STAR/SRR1257241	57046986	8694845	543	47285341	346271	704289	16240
hg19/STAR/SRR1257242	63410192	9401965	615	52663553	421063	907098	16513
hg19/STAR/SRR1257243	41970905	5369864	722	35218548	209588	1162686	10219
hg19/STAR/SRR1257244	64700866	9520475	556	53704003	431833	1027073	17482
hg19/STAR/SRR1257245	55601350	8595772	530	45874379	286475	829698	15026
hg19/STAR/SRR1257246	64151155	8916372	680	54000147	399984	819253	15399
hg19/STAR/SRR1257247	60411307	9758907	716	49413327	429734	791825	17514
hg19/STAR/SRR1257248	49839801	7505316	638	41330440	260971	731380	11694
hg19/STAR/SRR1257249	40200049	5511336	333	33514988	220345	946292	7088
hg19/STAR/SRR1257250	50267562	7434987	431	41735444	236908	851132	9091
hg19/STAR/SRR1257251	47582802	7155123	393	39568322	211171	638017	10169
hg19/STAR/SRR1257252	56263302	7760695	457	47580168	220345	691347	10747
hg19/STAR/SRR1257253	51707241	6937240	413	43939792	243768	575880	10561
hg19/STAR/SRR1257254	50518337	7805753	428	41984142	228388	489251	10803
hg19/STAR/SRR1257255	49901269	6632767	342	41940603	237518	1081399	8982
hg19/STAR/SRR1257256	52348024	7772641	421	43631636	247425	684581	11741
hg19/STAR/SRR1257257	50511684	7503311	364	42235300	247636	513734	11703
hg19/STAR/SRR1257258	55452986	7513961	537	47073440	204907	650512	10166
hg19/STAR/SRR1257259	54947426	8090240	506	44794343	274157	1777500	11186
hg19/STAR/SRR1257260	43808444	6443812	317	36787114	212891	356347	8280
hg19/STAR/SRR1257261	50551493	6617195	461	42169887	211835	1544028	8548
hg19/STAR/SRR1257262	49395776	7179603	457	40780849	222233	1203629	9462
hg19/STAR/SRR1257263	37493958	5848190	299	30832874	144468	659954	8472
hg19/STAR/SRR1257264	40574365	5786978	374	34208588	198424	371424	8951
hg19/STAR/SRR1257265	54880156	7979067	400	46048752	249613	591496	11228
hg19/STAR/SRR1257266	48982180	7731119	385	40503090	245336	492109	10526
hg19/STAR/SRR1257267	55042071	7601221	422	46001399	226209	1202106	11136
hg19/STAR/SRR1257268	57552229	8502157	407	48045372	247374	743668	13658
hg19/STAR/SRR1257269	60276357	8958699	407	50368478	276191	659269	13720
hg19/STAR/SRR1257270	55204923	7804195	422	46701028	237463	450460	11777
hg19/STAR/SRR1257271	35881060	5360234	247	30003906	162979	346908	7033
hg19/STAR/SRR1257272	51614239	7806267	404	43228403	225857	342154	11558
hg19/STAR/SRR1333393	143267031	28689881	3058	103712422	4269273	6494571	100884
hg19/STAR/SRR1333394	152119450	42150243	3813	95975322	3726092	10073130	194663
hg19/STAR/SRR1507056	139047315	27187974	6	47496514	749698	63606933	6196
hg19/STAR/SRR1507057	138847639	30487509	4	50664903	975678	56712083	7466
hg19/STAR/SRR1507058	80719271	13103413	6	38591555	197681	28820663	5959
hg19/STAR/SRR1528630	128248167	6541438	2407418	11079321	1916976	108707097	3335
hg19/STAR/SRR1528631	178670949	8514180	2064613	25369614	4564911	140203788	18456
hg19/STAR/SRR1528632	15021421	3648762	291	7995908	2634792	696153	45806
hg19/STAR/SRR1528633	14794249	3572444	242	7906339	2590020	680141	45305
hg19/STAR/SRR1528686	19459603	7645007	364	10878777	146632	776503	12684
hg19/STAR/SRR1528687	26851880	10289044	452	15233886	209586	1101116	18248
hg19/STAR/SRR1528688	17329007	8070656	326	8560612	218435	468301	11003
hg19/STAR/SRR1528689	23882383	10865672	391	12033990	310696	656136	15889
hg19/STAR/SRR1528690	21361142	8230890	545	11472190	735965	898587	23510
hg19/STAR/SRR1528691	29994611	11565114	629	16070605	1049022	1276058	33812
hg19/STAR/SRR1528692	25084959	9610175	633	13658167	1078810	699718	38089
hg19/STAR/SRR1528693	35405303	13578036	717	19242237	1543022	986848	55160
hg19/STAR/SRR1528694	14867411	6036089	259	8239373	147136	443020	1793
hg19/STAR/SRR1528695	20331238	7999930	281	11501201	207757	619758	2592
hg19/STAR/SRR1528696	19391749	6197305	497	11536320	416305	1208539	33280
hg19/STAR/SRR1528697	27133702	8576425	603	16180204	591473	1737105	48495
hg19/STAR/SRR1535516	28005271	3506270	7	24208193	182589	99033	9186
hg19/STAR/SRR1535517	28811604	3551761	13	24969027	184714	96602	9500
hg19/STAR/SRR1535518	28826854	3555734	6	24984304	184142	93283	9391
hg19/STAR/SRR1535519	13838406	2734861	3	10883882	161921	53483	4259
hg19/STAR/SRR1535520	14001007	2722900	3	11059312	161279	53173	4343
hg19/STAR/SRR1535521	14023453	2728550	2	11078299	160982	51312	4310
hg19/STAR/SRR1535522	24354727	3162346	4	20849789	237854	99954	4784
hg19/STAR/SRR1535523	26745265	3368926	3	23012579	255134	103583	5043
hg19/STAR/SRR1535524	26760063	3369792	2	23028155	255936	101094	5086
hg19/STAR/SRR1535525	20433663	1979399	9	17903403	169196	379277	2388
hg19/STAR/SRR1535526	20583056	1966151	5	18061999	169988	382560	2358
hg19/STAR/SRR1535527	20600313	1973890	9	18071570	170222	382270	2361
hg19/STAR/SRR1535528	27529541	2199041	8	24047268	250190	1029883	3159
hg19/STAR/SRR1535529	30570812	2385438	16	26758184	272760	1151258	3172
hg19/STAR/SRR1535530	30686462	2393149	12	26862573	275065	1152465	3210
hg19/STAR/SRR1535531	16042192	1596487	5	13034268	121609	1287526	2302
hg19/STAR/SRR1535532	15904319	1562917	4	12931301	119823	1288110	2168
hg19/STAR/SRR1535533	15929488	1567562	4	12948152	120039	1291480	2255
hg19/STAR/SRR1535534	5505090	1320132	7	3919094	111942	151480	2442
hg19/STAR/SRR1535535	6226899	1496848	1	4437279	128647	161354	2771
hg19/STAR/SRR1535536	6210696	1494127	2	4425949	128461	159397	2762
hg19/STAR/SRR1535537	6607418	1577688	1	4706635	119745	200557	2793
hg19/STAR/SRR1535538	7510834	1799944	3	5356240	137561	213933	3156
hg19/STAR/SRR1535539	7492338	1797889	3	5341283	137613	212493	3060
hg19/STAR/SRR1535540	34044323	7036335	28	25124947	611814	1256369	14858
hg19/STAR/SRR1535541	37142892	7739836	18	27390916	679860	1315817	16463
hg19/STAR/SRR1535542	37154061	7741873	19	27411654	680837	1303361	16336
hg19/STAR/SRR1535543	11581738	2397093	18	8127715	271501	781066	4363
hg19/STAR/SRR1535544	13054024	2717565	20	9160093	311273	860018	5075
hg19/STAR/SRR1535545	13020354	2711501	10	9136022	311681	856117	5033
hg19/STAR/SRR1535546	19193466	3254744	12	13429991	395292	2109928	3511
hg19/STAR/SRR1535547	21476971	3678214	11	15036062	449363	2309813	3519
hg19/STAR/SRR1535548	21437505	3668297	9	15013497	449037	2303145	3529
hg19/STAR/SRR1535549	6910335	889378	1	4978876	161898	877453	2730
hg19/STAR/SRR1535550	7836683	1013811	0	5654911	183478	981340	3143
hg19/STAR/SRR1535551	7808856	1008459	3	5639537	183881	973982	2997
hg19/STAR/SRR1573930	205468986	66864896	5643	123582249	6190635	7964999	866207
hg19/STAR/SRR1573931	198543728	58098318	6841	128220820	5912719	6267366	44505
hg19/STAR/SRR1573932	209942527	56784352	7016	142508888	5452395	5155706	41186
hg19/STAR/SRR1573933	154525415	33547047	6020	111877883	4240797	4780316	79372
hg19/STAR/SRR1573934	178817864	52400405	7814	114798219	4601801	6982968	34471
hg19/STAR/SRR1573937	67041213	12266040	7729	49784957	977853	4007151	5212
hg19/STAR/SRR1573938	74065326	6677884	8158	63412719	549183	3421161	4379
hg19/STAR/SRR1573939	369805711	50566059	34853	300307872	8159270	10704536	67974
hg19/STAR/SRR1573940	374304740	53165694	44598	295818506	11287029	13948384	85127
hg19/STAR/SRR1585486	24004434	14374093	41	7243713	420301	1904285	62042
hg19/STAR/SRR1585487	18542777	9517247	6	5547045	359192	3076440	42853
hg19/STAR/SRR1585488	39157230	16665434	9	10124301	807792	11423186	136517
hg19/STAR/SRR1585490	33602305	14008847	2	9841991	651122	8972683	127662
hg19/STAR/SRR1585491	31709360	13607983	6	9990646	710904	7359806	40021
hg19/STAR/SRR1585492	38133790	13202673	8	11377475	763290	12667213	123139
hg19/STAR/SRR1585493	22433907	9105449	3	5172351	340057	7685998	130052
hg19/STAR/SRR1585494	33869788	15792741	2	9057357	668227	8251247	100216
hg19/STAR/SRR1585495	12356629	6673177	106	4056770	264402	1328874	33406
hg19/STAR/SRR1585496	18050055	9929057	88	4578026	308268	3200028	34676
hg19/STAR/SRR1585497	18009184	5785194	3	4744265	298012	7121490	60223
hg19/STAR/SRR1585498	29827680	16913787	6	8564529	823794	3447477	78093
hg19/STAR/SRR1585499	13893422	6342965	63	4080713	241586	3212432	15726
hg19/STAR/SRR1585500	9465605	2697275	71	2234869	3366481	1085954	81026
hg19/STAR/SRR1585501	30844021	11269423	6	9129396	705757	9670216	69229
hg19/STAR/SRR1585502	27498391	17450589	84	7393605	494445	2024729	135023
hg19/STAR/SRR1585503	32064755	16857610	4	9390305	816087	4926246	74507
hg19/STAR/SRR1585504	24822786	15223055	31	6851217	435370	2262919	50225
hg19/STAR/SRR1585505	16905207	8047189	1	5292687	385519	3137996	41816
hg19/STAR/SRR1585506	13791684	8453668	11	3467981	268582	1582482	18971
hg19/STAR/SRR1585507	33759368	18989620	2	9882652	784762	4012963	89371
hg19/STAR/SRR1585508	24627148	13980821	2	7166905	687744	2722944	68734
hg19/STAR/SRR1585509	28610611	15301925	4	8974191	556995	3718997	58503
hg19/STAR/SRR1585510	28544291	17946725	41	7789091	481434	2266608	60433
hg19/STAR/SRR1585511	19751646	12744360	11	5179714	340777	1416493	70302
hg19/STAR/SRR1585512	23613093	13106822	1	6423484	547726	3438411	96650
hg19/STAR/SRR1585513	20772012	11150300	0	5899126	497083	3159865	65638
hg19/STAR/SRR1585514	28003170	15618852	1	7784950	598522	3947745	53101
hg19/STAR/SRR1585515	27691077	14065232	2	8153353	1680986	3693209	98297
hg19/STAR/SRR1585516	27236837	17528846	26	7276510	492948	1866477	72056
hg19/STAR/SRR1585517	18794776	10136225	1	5317824	435517	2857105	48105
hg19/STAR/SRR1585518	27182328	14698700	7	8212951	728191	3458682	83804
hg19/STAR/SRR1585519	25721545	14282365	1	7853923	472287	3036322	76648
hg19/STAR/SRR1585520	13411518	7213824	0	3914866	218677	2045079	19072
hg19/STAR/SRR1585521	13545825	7573719	10	4382811	282771	1272492	34032
hg19/STAR/SRR1585522	19451846	11270112	77	5928130	318907	1891234	43463
hg19/STAR/SRR1585523	21306606	11884460	2	6305378	355501	2713954	47313
hg19/STAR/SRR1585524	21221810	11288264	3	6537290	430010	2912374	53872
hg19/STAR/SRR1585525	18831560	8605936	81	5346104	429120	4372785	77615
hg19/STAR/SRR1585526	11841515	6015051	7	3227705	293839	2274955	29965
hg19/STAR/SRR1585527	12147124	5440398	20	3417981	167252	3097644	23849
hg19/STAR/SRR1585528	17998482	9635906	4	5454565	408132	2465444	34435
hg19/STAR/SRR1585529	18638983	10147991	0	5480316	390285	2588082	32309
hg19/STAR/SRR1585530	13133900	6715062	12	3576708	213013	2588003	41114
hg19/STAR/SRR1585531	19502450	9759162	18	5555133	353652	3698529	135974
hg19/STAR/SRR1585532	25995614	14281884	3	7847662	598828	3218281	48959
hg19/STAR/SRR1585533	13958916	5567591	40	4415981	222390	3736085	16869
hg19/STAR/SRR1585534	16823087	9148038	0	4950622	294378	2398373	31676
hg19/STAR/SRR1585535	17427150	8664394	10	4658119	343028	3689995	71614
hg19/STAR/SRR1585536	18592271	9887330	15	5023227	358086	3272950	50678
hg19/STAR/SRR1585538	21062981	10358149	66	5564285	254302	4860114	26131
hg19/STAR/SRR1585539	31202186	18849793	54	9283554	520068	2432222	116549
hg19/STAR/SRR1585540	15519867	7358572	67	4116178	209519	3818039	17559
hg19/STAR/SRR1585541	35449232	21968072	63	9722585	542346	3030130	186099
hg19/STAR/SRR1585542	27119206	16220036	145	7806245	478115	2572266	42544
hg19/STAR/SRR1585543	15566409	8618116	10	4133301	300348	2462223	52421
hg19/STAR/SRR1585544	13895642	6732854	76	3753517	178712	3213993	16566
hg19/STAR/SRR1585545	28497536	10671217	6	8292887	542069	8925767	65596
hg19/STAR/SRR1585546	11251060	6027517	9	3106438	287256	1752488	77361
hg19/STAR/SRR1585547	34345702	20577544	91	9972423	738104	2980822	76809
hg19/STAR/SRR1585548	30321530	16288355	2	8406311	706450	4855109	65305
hg19/STAR/SRR1585549	26502417	16985592	39	7220220	429395	1805404	61806
hg19/STAR/SRR1585550	16183217	7090328	91	5023723	677737	3191850	199579
hg19/STAR/SRR1585551	24034489	14687506	25	6771433	377846	2161213	36491
hg19/STAR/SRR1585552	24341022	14629911	41	6988326	491539	2171633	59613
hg19/STAR/SRR1585553	19920664	11769444	50	5816182	435722	1825689	73627
hg19/STAR/SRR1585554	22420150	14334963	31	6126144	409632	1506613	42798
hg19/STAR/SRR1585555	21511072	12921541	55	6112009	509259	1888410	79853
hg19/STAR/SRR1585556	32717625	21451157	10	8556564	692457	1957582	59865
hg19/STAR/SRR1585557	15304557	6905367	54	4193372	203165	3980699	21954
hg19/STAR/SRR1610244	39919376	9468517	1926	28619197	644711	1142504	44447
hg19/STAR/SRR1610245	31771633	8034407	1625	21923128	496451	1289672	27975
hg19/STAR/SRR1610246	41069821	6153936	1491	33815210	614533	439452	46690
hg19/STAR/SRR1610247	30361198	4092614	1182	25448201	273159	523707	23517
hg19/STAR/SRR1610248	38276405	8849285	1615	28374257	434238	575903	42722
hg19/STAR/SRR1610249	42584962	7510520	1651	34048092	486149	505727	34474
hg19/STAR/SRR1610250	32192706	4945227	1371	26367850	328742	510780	40107
hg19/STAR/SRR1610251	46609309	5978902	2415	39303449	473148	791075	62735
hg19/STAR/SRR1610252	29703437	5554042	2157	22958959	341416	819338	29682
hg19/STAR/SRR1610253	20123362	3692252	1625	15520866	218104	675460	16680
hg19/STAR/SRR1610254	33631684	6896096	2507	25478157	383367	839830	34234
hg19/STAR/SRR1610255	31865253	4239670	2360	22101757	322497	5171859	29470
hg19/STAR/SRR1610256	32864162	6809736	3999	24715658	332808	971771	34189
hg19/STAR/SRR1610257	25302434	5022987	2911	19217883	214341	826866	20357
hg19/STAR/SRR1610258	18114464	3013075	3008	13549236	176943	1362242	12968
hg19/STAR/SRR1610259	17149539	1880448	4881	13849036	134930	1268519	16606
hg19/STAR/SRR1660328	30673665	8903184	546	15952021	4703044	843993	271423
hg19/STAR/SRR1660329	39514994	6388272	622	30388746	1606156	934809	197011
hg19/STAR/SRR1660330	42773148	10874016	2017	20940501	9211887	1349495	397249
hg19/STAR/SRR1660331	37562434	9534349	1422	16782155	9702511	1226036	317383
hg19/STAR/SRR1660332	61545560	10565520	2902	45085505	3915536	1661971	317028
hg19/STAR/SRR1660334	29715958	7219479	1281	13851680	7433465	1004844	206490
hg19/STAR/SRR1660335	43565058	10366409	2207	19431684	12041156	1383919	341890
hg19/STAR/SRR1661491	23525682	1715659	90458	18936629	1375176	1351967	146251
hg19/STAR/SRR1661492	21062618	12582672	451368	6296322	456564	1275281	451779
hg19/STAR/SRR1661493	36490823	5333524	264605	21040572	6496179	3189469	431079
hg19/STAR/SRR1661494	22039846	13005191	561653	6419120	600868	1437785	576882
hg19/STAR/SRR1661495	26427579	2021352	25460	21208943	1545209	1491430	160645
